measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Alabama,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,34.44221506073943,37.321572816053155,30.62654396625148
Deaths,Illinois,Both,All Ages,Chronic respiratory diseases,Rate,2000,49.63780678022698,52.94811660472121,44.6400278217371
Deaths,Utah,Both,All Ages,Chronic respiratory diseases,Rate,2001,37.47311635791218,40.59954696143533,34.19841831472825
Deaths,Virginia,Both,All Ages,Chronic respiratory diseases,Rate,2000,51.87203228643252,55.7914697029192,44.97462602634578
Deaths,Tennessee,Both,All Ages,Chronic respiratory diseases,Rate,2001,61.85622510538716,66.0028508506762,54.76011558324228
Deaths,Kansas,Both,All Ages,Chronic respiratory diseases,Rate,2000,64.7051267463253,69.96880511078562,54.959219791999715
Deaths,Alaska,Both,All Ages,Chronic respiratory diseases,Rate,2000,27.46456838385461,29.996173570747146,23.278287389841694
Deaths,West Virginia,Both,All Ages,Chronic respiratory diseases,Rate,2000,92.32676482912098,99.84844920645584,76.63173682232156
Deaths,Iowa,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,37.1611967166019,41.07257223246944,32.04841226846759
Deaths,Hawaii,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,25.21379775809283,28.073079977770362,21.593186026455538
Deaths,New Jersey,Both,All Ages,Chronic respiratory diseases,Rate,2000,46.78136073813686,51.395663478965226,42.22402694201794
Deaths,North Carolina,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,30.249493778615477,32.57948990241084,27.367240848547574
Deaths,California,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,25.298576961959398,27.646836036006803,22.024560803527617
Deaths,Alabama,Both,All Ages,Chronic respiratory diseases,Rate,2001,71.51112030426808,76.40413771949962,61.20086682162435
Deaths,Illinois,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.718240605113106,31.406453836773593,24.978469486031894
Deaths,Arizona,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,26.264518359349214,28.43609466093163,23.2181227637902
Deaths,New Hampshire,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,20.88364763804693,23.139171399534227,18.148280818887798
Deaths,California,Both,All Ages,Chronic respiratory diseases,Rate,2000,43.588582830997936,46.400393361492995,37.61765388155569
Deaths,Vermont,Both,All Ages,Chronic respiratory diseases,Rate,2001,61.6828769614893,67.17430263538922,50.87612418579284
Deaths,Washington,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,22.073599460681795,24.211248763441343,19.323859117821662
Deaths,Kentucky,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,35.572057319702644,38.606589954346,31.207407620456472
Deaths,Vermont,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.46965902733494,25.98083532848264,20.571945529327884
Deaths,New Hampshire,Both,All Ages,Chronic respiratory diseases,Rate,2001,57.50614562300307,62.799429989790866,47.57992176314321
Deaths,Arizona,Both,All Ages,Chronic respiratory diseases,Rate,2001,57.86254692661885,62.754060462094856,47.4976498197664
Deaths,North Carolina,Both,All Ages,Chronic respiratory diseases,Rate,2000,58.10551904441647,62.06458025550765,51.12308755253665
Deaths,Arizona,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,27.348705226558774,29.726165231882145,24.21044739428857
Deaths,Missouri,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,33.624088627794855,36.827567955428236,29.538425190412248
Deaths,Hawaii,Both,All Ages,Chronic respiratory diseases,Rate,2001,35.718539346855046,42.014319505716266,31.36617849188578
Deaths,Wisconsin,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,29.385767988645092,32.23983686115177,25.527343912549284
Deaths,Arkansas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,38.75965858500919,42.16677340898092,34.70450158503504
Deaths,Connecticut,Both,All Ages,Chronic respiratory diseases,Rate,2000,54.52634966410572,59.23291189252439,47.08408820884829
Deaths,West Virginia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,35.2748636856878,38.49584895500763,31.179488168192524
Deaths,Illinois,Both,All Ages,Chronic respiratory diseases,Rate,2001,50.30668284380606,53.77412619195809,44.87410169747155
Deaths,Iowa,Both,All Ages,Chronic respiratory diseases,Rate,2001,63.60982046551809,68.59760763202624,56.251459058295026
Deaths,Ohio,Both,All Ages,Chronic respiratory diseases,Rate,2000,64.2375664400304,68.98105143473886,54.57815392445861
Deaths,South Dakota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,32.44830588276568,35.573043178149774,28.075377317226298
Deaths,Kentucky,Both,All Ages,Chronic respiratory diseases,Rate,2000,71.1398964448882,76.4462500696875,59.98335506510025
Deaths,Alaska,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,9.908294401620028,10.66793963540118,9.117506527737754
Deaths,New York,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,29.198053494259412,31.86024252650949,25.81160679750893
Deaths,New Mexico,Both,All Ages,Chronic respiratory diseases,Rate,2001,56.98384053237801,61.45404508602983,48.707776139201734
Deaths,Colorado,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,20.49304115369828,22.459024286259783,18.025676624281374
Deaths,New Mexico,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,23.209954550448437,25.326733973499557,20.354797084718047
Deaths,Washington,Both,All Ages,Chronic respiratory diseases,Rate,2001,53.32294148483349,57.33945129479791,44.18196790839578
Deaths,Indiana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,26.294584218460102,28.80885032703251,23.032889380213202
Deaths,Maine,Both,All Ages,Chronic respiratory diseases,Rate,2000,74.8059766031366,81.78455317929284,61.58914042909428
Deaths,Virginia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,26.273225246013656,28.519665728063657,23.27360322001409
Deaths,Arkansas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,36.9076408696775,40.068669443760214,33.01666432530379
Deaths,Wisconsin,Both,All Ages,Chronic respiratory diseases,Rate,2000,54.19169268706727,58.1908970853167,48.242083731760005
Deaths,New Jersey,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,27.22046758890142,29.644806792153236,23.982880028444868
Deaths,North Dakota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,30.537601261261095,33.81891334244479,26.03151297105768
Deaths,Idaho,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.740993850689126,26.018392354877683,20.76471056078609
Deaths,Arkansas,Both,All Ages,Chronic respiratory diseases,Rate,2001,68.23715665803539,73.17463338495013,59.68748333350991
Deaths,Delaware,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,26.22924548513248,28.59153130526484,23.424221248020856
Deaths,North Dakota,Both,All Ages,Chronic respiratory diseases,Rate,2000,55.79940543494027,62.56663642992942,49.61692188904384
Deaths,Idaho,Both,All Ages,Chronic respiratory diseases,Rate,2000,54.99077302795833,59.1689488213505,47.59370535704266
Deaths,Oklahoma,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,34.07002419600794,37.08369399065295,29.91002323969546
Deaths,Nebraska,Both,All Ages,Chronic respiratory diseases,Rate,2001,67.61376060007515,73.07900042481796,56.504596572158185
Deaths,Colorado,Both,All Ages,Chronic respiratory diseases,Rate,2000,51.967662165630756,55.79613300628461,43.5495719088038
Deaths,Kansas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,31.527313836973065,34.897436738615276,27.330445014144406
Deaths,Wyoming,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,28.967788614236333,31.517546675875217,25.51960603916999
Deaths,New York,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.766015846637284,31.432952651214222,25.272816784650825
Deaths,West Virginia,Both,All Ages,Chronic respiratory diseases,Rate,2001,92.24922845694842,99.73801387678996,75.72542656782036
Deaths,Delaware,Both,All Ages,Chronic respiratory diseases,Rate,2000,53.64202890674425,58.1625451093804,46.69576176470104
Deaths,Kansas,Both,All Ages,Chronic respiratory diseases,Rate,2001,67.22770072272878,73.12774901404867,56.34705932265327
Deaths,Texas,Both,All Ages,Chronic respiratory diseases,Rate,2001,45.46980891381245,48.45165920991591,39.5458868662364
Deaths,New York,Both,All Ages,Chronic respiratory diseases,Rate,2001,44.02048900418425,48.43835658886487,39.406629003268804
Deaths,Maryland,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,26.59489947154057,28.81327161371658,23.868349291094887
Deaths,Oklahoma,Both,All Ages,Chronic respiratory diseases,Rate,2000,68.42263655974804,73.33920515265787,58.69954198964105
Deaths,Wisconsin,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.175323351963087,31.008856580624943,24.592395803002262
Deaths,Colorado,Both,All Ages,Chronic respiratory diseases,Rate,2001,53.04088652868453,57.16487051953539,43.96167998162918
Deaths,Wyoming,Both,All Ages,Chronic respiratory diseases,Rate,2000,69.8074489271763,75.86121378578403,58.05997779918034
Deaths,California,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,25.1578303142484,27.490623136693365,21.82547038554681
Deaths,West Virginia,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,34.38118020939638,37.556454689102,30.380785325449533
Deaths,Louisiana,Both,All Ages,Chronic respiratory diseases,Rate,2001,53.7491144416466,57.442771704870935,47.85336208001938
Deaths,North Carolina,Both,All Ages,Chronic respiratory diseases,Rate,2001,58.01818952509472,61.862540984582616,50.25914678653254
Deaths,Louisiana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,28.287776524031855,30.60175646601482,25.434305314792393
Deaths,California,Both,All Ages,Chronic respiratory diseases,Rate,2001,44.540812726870485,47.57978224763536,37.79934085979795
Deaths,Virginia,Both,All Ages,Chronic respiratory diseases,Rate,2001,51.953992745121354,55.89980697396361,45.08887183646978
Deaths,Nevada,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,21.70552092469184,23.473879109888742,20.028518623676035
Deaths,Pennsylvania,Both,All Ages,Chronic respiratory diseases,Rate,2000,65.9537528994214,70.75520280978336,59.104047115538535
Deaths,Indiana,Both,All Ages,Chronic respiratory diseases,Rate,2001,63.925560255172,68.99717811966818,53.352131675710375
Deaths,North Dakota,Both,All Ages,Chronic respiratory diseases,Rate,2001,57.023921402022545,62.78916895144887,50.49617011808024
Deaths,Illinois,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,29.53346196870147,32.11579096089947,25.729352343477483
Deaths,Utah,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,22.18556851259069,24.069970123037066,19.94383907519229
Deaths,North Dakota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,29.769937932677156,33.29314557332806,25.496793857813696
Deaths,Connecticut,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,31.22525897504082,34.55365490803414,26.52186780306915
Deaths,Kentucky,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,35.09337792298376,38.32533758058362,30.77275544948411
Deaths,North Carolina,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.80361648418575,31.016726820096498,26.029232852133582
Deaths,New Jersey,Both,All Ages,Chronic respiratory diseases,Rate,2001,47.0248436563241,51.06573699517532,42.40933452616946
Deaths,Iowa,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,35.41923748703634,39.20440209124681,30.537028281869365
Deaths,Oregon,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,23.966939773968996,26.30233211033852,21.11730050631616
Deaths,Washington,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,20.45063998830002,22.365301608063557,18.030904357246303
Deaths,Ohio,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,28.13214895586742,30.6445506355175,24.943928721739848
Deaths,Colorado,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,20.1521041691535,22.047116359523397,17.75510103812078
Deaths,Maine,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,29.696390569477565,32.938856497772925,25.86252197361883
Deaths,Wisconsin,Both,All Ages,Chronic respiratory diseases,Rate,2001,54.895254958157224,58.96844301981803,48.190520733877555
Deaths,Louisiana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,27.950448096121598,30.229590231174264,25.10142973481269
Deaths,Maryland,Both,All Ages,Chronic respiratory diseases,Rate,2000,46.10921355186855,49.49973084950149,40.201770543353184
Deaths,Michigan,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,25.79968175988617,27.921074522540266,23.029318007695313
Deaths,Oklahoma,Both,All Ages,Chronic respiratory diseases,Rate,2001,68.67144402196358,73.48279272494271,58.41119269174126
Deaths,Ohio,Both,All Ages,Chronic respiratory diseases,Rate,2001,65.62443242109867,70.62621056337532,55.22847119541954
Deaths,Maine,Both,All Ages,Chronic respiratory diseases,Rate,2001,75.84587460800222,83.0880495682639,61.43585513647538
Deaths,Michigan,Both,All Ages,Chronic respiratory diseases,Rate,2000,53.30980806031773,56.96221973986986,47.1041245734839
Deaths,Oregon,Both,All Ages,Chronic respiratory diseases,Rate,2000,62.39495371321055,67.32929273652714,52.335922612303484
Deaths,Rhode Island,Both,All Ages,Chronic respiratory diseases,Rate,2000,55.37854382506811,60.56511928136515,48.870270019372256
Deaths,Massachusetts,Both,All Ages,Chronic respiratory diseases,Rate,2001,59.28144749721419,64.21626758533785,49.635062957349426
Deaths,Iowa,Both,All Ages,Chronic respiratory diseases,Rate,2000,63.61797245555191,68.35286509658631,56.9231684588296
Deaths,District of Columbia,Both,All Ages,Chronic respiratory diseases,Rate,2000,42.48699403431061,53.108918841676754,37.083371168061085
Deaths,Kentucky,Both,All Ages,Chronic respiratory diseases,Rate,2001,73.98784941538345,79.52651595463604,61.17488186558739
Deaths,Mississippi,Both,All Ages,Chronic respiratory diseases,Rate,2000,60.958616818257916,65.0428894400677,54.76989481698386
Deaths,Wyoming,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,28.826715278191475,31.55696752070775,25.174173417509937
Deaths,Maryland,Both,All Ages,Chronic respiratory diseases,Rate,2001,46.099291888380804,49.648434375156874,40.10346819643886
Deaths,New Mexico,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.342039303203443,25.478145683341527,20.52513429947711
Deaths,Oregon,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,23.0412846329202,25.24435310206755,20.156240006447636
Deaths,Pennsylvania,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,32.51503266125545,35.689070800913,28.47424916323157
Deaths,Minnesota,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,24.755927139295842,27.277679609885034,21.261787256666302
Deaths,Kansas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,32.55046469966245,35.9353677041856,28.06145931769387
Deaths,Maryland,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,25.45974181242479,27.531555851280956,22.909166820345217
Deaths,Oklahoma,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,32.51096070000735,35.40764895701637,28.47969421886601
Deaths,Massachusetts,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,39.32557478065433,43.27348780986686,33.62857646169073
Deaths,Louisiana,Both,All Ages,Chronic respiratory diseases,Rate,2000,52.58364777031147,56.068357591518165,47.52604944938777
Deaths,Massachusetts,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,38.42032724506763,42.49535564198946,32.98561521900489
Deaths,Rhode Island,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,30.644657870279683,33.95011898289797,26.115404442037583
Deaths,Minnesota,Both,All Ages,Chronic respiratory diseases,Rate,2000,51.41269825305599,55.37310199512928,44.67784549928251
Deaths,Maine,Both,All Ages,Respiratory infections and tuberculosis,Rate,2000,30.984303223316715,34.20116666567522,26.847100297187303
Deaths,Wyoming,Both,All Ages,Chronic respiratory diseases,Rate,2001,71.37266220136915,77.80431104819277,58.37843528949701
Deaths,Ohio,Both,All Ages,Respiratory infections and tuberculosis,Rate,2001,27.266486873802805,29.802065147741903,24.00843857922217
Deaths,Massachusetts,Both,All Ages,Chronic respiratory diseases,Rate,2000,58.36720671912669,63.07535571395241,49.469977467288956
Deaths,California,Both,All Ages,Chronic respiratory diseases,Rate,2002,44.07763151276399,47.36689685716328,37.40373873003999
Deaths,Maine,Both,All Ages,Respiratory infections and tuberculosis,Rate,2002,30.044776622674874,33.2856960546459,25.889579354319068
Deaths,Oklahoma,Both,All Ages,Chronic respiratory diseases,Rate,2002,71.7822402016674,76.89173042126276,59.57449302411368
Deaths,Oregon,Both,All Ages,Chronic respiratory diseases,Rate,2001,64.37417065032136,69.70168469952506,53.3553420968654
Deaths,Arkansas,Both,All Ages,Respiratory infections and tuberculosis,Rate,2002,37.0132637007515,40.49477908060117,33.08751175513879
Deaths,Ohio,Both,All Ages,Respiratory infections and tuberculosis,Rate,2002,26.80922340918549,29.253619860485326,23.708974664064062
Deaths,Maryland,Both,All Ages,Chronic respiratory diseases,Rate,2002,46.45696011500657,50.00191784227904,40.16313152825206
Deaths,Kentucky,Both,All Ages,Respiratory infections and tuberculosis,Rate,2003,32.415785097595496,35.41458922382338,28.535595402297808
Deaths,North Dakota,Both,All Ages,Chronic respiratory diseases,Rate,2003,57.56010699564365,63.34900297542007,50.97493021018881
Deaths,Maryland,Both,All Ages,Respiratory infections and tuberculosis,Rate,2002,25.531957991146466,27.621047920004123,22.930925637856014
Deaths,North Carolina,Both,All Ages,Respiratory infections and tuberculosis,Rate,2003,27.645552736878198,29.956765571134518,24.71648064693817
Deaths,Arizona,Both,All Ages,Respiratory infections and tuberculosis,Rate,2003,25.164404459765738,27.258823459770408,22.25368320963837
Deaths,Wyoming,Both,All Ages,Chronic respiratory diseases,Rate,2003,72.39906893804103,78.7957805427251,58.03003631251766
Deaths,Maine,Both,All Ages,Chronic respiratory diseases,Rate,2003,78.25293968107965,85.23347502148194,62.123044702764545
Deaths,Colorado,Both,All Ages,Respiratory infections and tuberculosis,Rate,2002,19.83384877833815,21.69293952323465,17.39854388639507
Deaths,Wisconsin,Both,All Ages,Respiratory infections and tuberculosis,Rate,2003,26.53168757535861,29.231211212510214,22.973930406202474
Deaths,Louisiana,Both,All Ages,Respiratory infections and tuberculosis,Rate,2003,27.871108279766272,30.298353341690852,24.829123757006418
Deaths,Colorado,Both,All Ages,Chronic respiratory diseases,Rate,2002,53.36904091444633,57.56109136311811,44.29627384860932
